#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
100000,200.00000000022686,-512501.827805751,104598.12289490126,299.6046074703442,403.211322598014,0
200000,400.00000000118183,-513728.1773256585,104153.29071197467,298.3304567698597,403.1626868038262,261
300000,599.9999999996356,-512608.83249193104,104169.81158029736,298.3777781570118,405.9428077634114,261
400000,799.9999999949063,-512392.6532170782,104578.70585463077,299.54899046147756,403.862922710683,261
500000,999.9999999901769,-514414.6063482496,104321.0742192308,298.8110458133359,404.39372774591743,261
600000,1199.9999999854476,-515162.4183974494,104830.09090577156,300.26904276725963,403.12914843228765,261
700000,1399.9999999807183,-513751.06790731614,105014.50752751384,300.79727470908534,403.14312813479177,261
800000,1599.9999999759889,-513876.3695677831,105024.99089849473,300.8273026499391,404.53190889004753,261
900000,1799.9999999712595,-514383.38157992717,104973.79471426678,300.68065936175117,402.68265655586515,261
1000000,1999.9999999665301,-513400.5499682841,105294.67357137764,301.5997655691047,403.73775959440945,261
1100000,2199.9999999618008,-513050.190027684,103871.70460976928,297.5238983796569,404.4170113832243,261
1200000,2399.9999999570714,-514097.8405615827,105337.95424776827,301.72373615004994,403.0704295854175,261
1300000,2599.999999952342,-514357.33001843374,104457.99184104922,299.20322446057514,404.4324133300967,261
1400000,2799.9999999476127,-513010.5244759228,104662.79696542968,299.78985600997277,405.98626083910926,261
1500000,2999.9999999428833,-513011.9987074402,104218.63632568123,298.51762883760455,405.4966754643074,261
1600000,3199.999999938154,-513189.0077220532,104093.69504078571,298.15975449357273,404.372538874039,261
1700000,3399.9999999334245,-511841.2238433487,103943.25195284921,297.72883431010894,406.45247916478814,261
1800000,3599.999999928695,-514894.9017933523,104309.81637539645,298.7787995187601,403.37505125463497,261
1900000,3799.999999923966,-512718.05297002895,104303.45112237794,298.76056726870354,404.506219506507,261
2000000,3999.9999999192364,-514311.7834271528,104968.85080801987,300.66649833238,403.2174987320595,261
2100000,4199.999999938153,-513157.5054347343,104769.49864443135,300.095485917747,403.22139451191657,261
2200000,4399.999999978899,-514061.41045540525,104385.6305958638,298.9959572376095,403.4086676326459,261
2300000,4600.000000019644,-513165.9523233762,104139.48178338795,298.2909033006931,403.333197741831,261
2400000,4800.0000000603895,-514004.11283279536,104681.4127309884,299.8431778954772,405.269615979655,261
2500000,5000.000000101135,-514992.4801587681,104120.25839022477,298.2358409630191,403.81728117662357,261
2600000,5200.00000014188,-513782.44738222193,105060.94614332193,300.9302907028296,403.1251163907003,260
2700000,5400.000000182626,-513051.10927250795,104750.49146299047,300.0410428839993,405.5866953384701,260
2800000,5600.000000223371,-512599.9213356925,104980.03462508565,300.6985325891074,406.42455301760197,260
2900000,5800.000000264116,-513553.36772829667,106061.48016472842,303.79616051433106,404.18226863689847,260
3000000,6000.000000304862,-514111.62124650506,104770.78209748224,300.0991621639059,402.9618891025761,260
3100000,6200.000000345607,-514757.3411647915,105368.60525141287,301.8115310517303,405.4133047671256,260
3200000,6400.000000386352,-513564.651382464,104163.16124607698,298.35872933741064,405.15878289981305,260
3300000,6600.000000427098,-513291.55975900963,104767.12613760796,300.0886902510957,403.21383412577,260
3400000,6800.000000467843,-513081.44668361964,104593.70401777874,299.5919503029963,404.2411553088385,260
3500000,7000.0000005085885,-513217.62007956114,104738.6465930685,300.0071151470066,404.7420665542104,260
3600000,7200.000000549334,-511160.05145284394,105390.84207283499,301.87522487308365,405.48925173185467,260
3700000,7400.000000590079,-513402.1130538215,104578.65939112671,299.5488573741954,405.19930134561486,260
3800000,7600.000000630825,-513586.59712661244,104690.68443260135,299.86973520306026,404.4650234359553,260
3900000,7800.00000067157,-512574.08337237965,105298.38772823976,301.61040417788615,404.6420692540656,260
4000000,8000.000000712315,-514215.626893071,104730.991922607,299.9851895667432,404.0411981921047,260
4100000,8200.00000075306,-512749.2201167438,104451.79328207896,299.1854696789809,405.324836050414,260
4200000,8400.000000793805,-514176.13762731245,104805.49627902755,300.1985953893566,404.14452999137586,260
4300000,8600.00000083455,-513587.5375219472,104619.82425355178,299.66676754415926,403.1125776626786,260
4400000,8800.000000875296,-512127.6815681313,103684.28721884757,296.987071214062,405.68214643708137,260
4500000,9000.000000916041,-514292.76267630607,104759.80812899163,300.06772898488674,403.28998535036925,260
4600000,9200.000000956787,-513626.9742744663,104700.3601701057,299.89744980688636,403.2605285151574,260
