#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
100000,200.00000000022686,-513622.7458083248,104162.70933237905,298.3680935708509,402.65860431214475,0
200000,400.00000000118183,-513879.3759174878,104083.7637181608,298.14195839674636,404.7334680670204,263
300000,599.9999999996356,-513076.8413917604,105506.40460365854,302.2170314393209,404.1780593508819,263
400000,799.9999999949063,-513489.7928338167,103729.09259800281,297.1260233596833,405.6588801858681,263
500000,999.9999999901769,-513029.9767489196,104644.63887285546,299.7485530380542,404.5090702192711,263
600000,1199.9999999854476,-513179.37352292286,105191.24517736182,301.3142753781765,405.85895358778515,263
700000,1399.9999999807183,-513254.96903906437,104269.33541274117,298.673517849141,403.601553331797,263
800000,1599.9999999759889,-512900.18920199946,105072.19258773304,300.97325607837246,404.68953356409463,263
900000,1799.9999999712595,-514202.0693997415,104686.36617249815,299.86807848937974,403.3088281138384,263
1000000,1999.9999999665301,-513532.26261813426,105762.90395749686,302.95175909471135,403.8396885882071,263
1100000,2199.9999999618008,-512153.11740895826,104787.25759048807,300.15707615693515,404.55941932948514,263
1200000,2399.9999999570714,-513548.1313731605,104701.99968560354,299.91285978904995,405.54076801475895,263
1300000,2599.999999952342,-512867.6114145876,104791.97953446093,300.17060189402633,404.2102285660584,263
1400000,2799.9999999476127,-512708.33961564116,104631.82897300163,299.71185981624075,405.300366757007,263
1500000,2999.9999999428833,-512882.3520946335,105955.59719790798,303.503717805789,403.89702009716444,263
1600000,3199.999999938154,-512750.2339868769,104547.85853697185,299.4713313288857,403.2510976814411,263
1700000,3399.9999999334245,-514617.9192947764,105750.49485832435,302.91621394341144,402.4264261451971,263
1800000,3599.999999928695,-512958.58414959954,103218.75367554225,295.6641868507685,403.8646105460302,263
1900000,3799.999999923966,-513312.2868840797,105380.1323259015,301.85533175786395,403.0350066526577,263
2000000,3999.9999999192364,-513079.39499094477,105325.7971842368,301.6996918677698,405.2925785503049,263
2100000,4199.999999938153,-513856.55788450874,104393.42447957327,299.0289638483952,404.21771709010034,263
2200000,4399.999999978899,-513246.33409261145,104794.8914266139,300.1789428417219,404.844554817801,263
