#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
100000,200.00000000022686,-513625.56730107404,104241.57788048324,298.5940079935015,403.4484366429892,0
200000,400.00000000118183,-512416.4287691191,104989.86229537916,300.73742568830096,405.35815922389855,262
300000,599.9999999996356,-513593.52826860826,104996.33209863689,300.75595806784605,403.8025979416029,261
400000,799.9999999949063,-513819.6407329682,104264.58546874241,298.65991190758507,404.41606870605176,261
500000,999.9999999901769,-512792.4912444791,104748.80990463519,300.046944970797,405.20873799977755,261
600000,1199.9999999854476,-513398.28190786764,104615.11532560969,299.66398453399324,403.9068236337432,261
700000,1399.9999999807183,-512654.25833424414,106191.51039135896,304.17947758805013,404.39960123696034,261
800000,1599.9999999759889,-513702.5798160387,104522.00314519403,299.3972700453158,404.3195968849942,261
900000,1799.9999999712595,-512933.32567749545,104527.19870527904,299.41215242853656,402.16226216401685,261
1000000,1999.9999999665301,-513920.54100719886,104037.74315952219,298.0101351518051,403.2431590080538,261
1100000,2199.9999999618008,-513670.895335387,105004.3887811182,300.77903597171263,404.0656439125342,261
1200000,2399.9999999570714,-513688.7936133514,104884.49187876924,300.4355981866531,405.0257295575872,261
1300000,2599.999999952342,-514523.85273747006,104891.19032237411,300.4547854933302,403.06061918770047,261
1400000,2799.9999999476127,-513487.0171602345,104432.47396564652,299.14081885667287,405.7681986941153,261
1500000,2999.9999999428833,-512930.13337323815,103546.16828322748,296.6020471745679,404.8376393572488,261
1600000,3199.999999938154,-514052.1705722562,105132.781462671,301.14680942796093,403.4340448325373,261
1700000,3399.9999999334245,-511505.22523425054,104604.68715658365,299.63411364323326,405.21098878084223,261
1800000,3599.999999928695,-512927.5793212098,105054.19344166026,300.9216985590447,405.5480977721303,261
1900000,3799.999999923966,-513410.3188536037,104817.55430284032,300.24385934800176,403.55277053221835,261
2000000,3999.9999999192364,-511774.0787239764,105240.32087495454,301.4548498930412,405.68904958088973,261
