#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
100000,200.00000000022686,-512058.19621675694,104582.45260602771,299.5597224320952,405.57445294886446,0
200000,400.00000000118183,-512930.3750645281,104370.49917561759,298.9526157024283,405.3030469399669,259
300000,599.9999999996356,-512401.9955098778,105012.4215878686,300.7912998683203,403.8849425534342,258
400000,799.9999999949063,-512894.6717318753,105097.58828716399,301.03524626817665,405.0505664450655,258
500000,999.9999999901769,-512853.4258356951,105319.12125151002,301.6697920419218,403.54587508749114,258
600000,1199.9999999854476,-514210.26612906903,104818.48275929177,300.23579308673686,403.4984444113764,258
700000,1399.9999999807183,-513540.6598081044,104875.2033066916,300.3982600303961,404.28128711396255,258
800000,1599.9999999759889,-513400.99910850497,104788.29899380158,300.1493365140816,405.0045950256406,258
900000,1799.9999999712595,-512829.31421812996,104892.8030260927,300.4486716140538,402.51857045469274,258
1000000,1999.9999999665301,-513206.69820454903,105330.94876469468,301.70367006331423,403.7868474032695,258
1100000,2199.9999999618008,-512811.9762020889,105109.58853664808,301.06961906509423,403.0515669661268,258
1200000,2399.9999999570714,-513511.4634605646,105200.43903804931,301.32984580776866,403.9243296317866,258
1300000,2599.999999952342,-513002.596330388,105610.34805889064,302.5039646914423,405.34224485324336,258
1400000,2799.9999999476127,-515006.4140681792,105734.20603796342,302.8587360790652,402.6781471598393,258
1500000,2999.9999999428833,-513714.5342534217,103864.86019514583,297.50429364775664,402.97398106387976,258
1600000,3199.999999938154,-513760.7726723822,105274.52090311563,301.5420414714152,403.0451050588477,258
1700000,3399.9999999334245,-513511.2045017467,105193.08162567204,301.3087716757835,404.555032687677,258
1800000,3599.999999928695,-512748.73834231123,104271.63882617845,298.6694460300829,404.83067176944496,258
1900000,3799.999999923966,-512646.62493882515,105240.40878530801,301.4443327613268,404.846581445531,258
2000000,3999.9999999192364,-513668.836268872,104731.12399423818,299.9855678648247,406.54266075117266,258
2100000,4199.999999938153,-513522.676075113,104342.24524952611,298.8716868463279,405.3310297124647,258
2200000,4399.999999978899,-513182.60371854575,104612.71114192813,299.6463931726417,403.03383571405215,258
2300000,4600.000000019644,-513050.6313029039,105281.93925613491,301.56329015813066,405.6187986449441,258
2400000,4800.0000000603895,-513749.6215872844,104402.61028982647,299.04459285748356,404.84705166107307,258
2500000,5000.000000101135,-513360.3808073625,105309.99351959513,301.6436471125314,403.72648037609264,258
2600000,5200.00000014188,-512776.90781312436,105549.02726281586,302.3283210706078,403.89718823761865,258
2700000,5400.000000182626,-514525.3461760995,105133.74358929927,301.1388073532556,403.55697978973865,258
2800000,5600.000000223371,-514204.676170995,104212.79220933293,298.5008893002583,403.6155394239656,258
2900000,5800.000000264116,-513540.65714745084,105056.55568144564,300.9177149264136,404.1418008601904,258
3000000,6000.000000304862,-513184.8448222857,104497.38383316272,299.3160565268494,404.9911565190582,258
3100000,6200.000000345607,-513855.41090553347,104483.11554684164,299.2751873008615,403.4086049282761,258
3200000,6400.000000386352,-512183.2553812335,105065.57444456604,300.94354773210625,404.68804455418785,258
3300000,6600.000000427098,-514165.9989663963,104854.35714883136,300.3385495425773,405.25047765320295,258
3400000,6800.000000467843,-514656.54785949737,105434.04848085204,301.99898272414146,402.97208978357764,258
3500000,7000.0000005085885,-512301.8979163845,105023.80064745655,300.8238933660512,404.4579112743461,258
3600000,7200.000000549334,-514583.081007964,104553.4000902737,299.47650614352705,404.2223670453466,258
3700000,7400.000000590079,-513007.89756341046,105241.4659310627,301.4473607864013,406.7817128159779,258
3800000,7600.000000630825,-512170.632205592,105365.0616176097,301.80138087900036,405.689100646637,258
3900000,7800.00000067157,-513343.21016635187,104662.02329849923,299.78763996468825,404.3442047707423,258
4000000,8000.000000712315,-513279.8661631718,104470.1350422278,299.2380067197769,403.69364552003964,258
4100000,8200.00000075306,-513674.3967713569,104644.97223066888,299.7387999057764,404.98386308450057,258
4200000,8400.000000793805,-514127.7677045311,103934.18434680343,297.7028616016621,403.9865933771892,258
4300000,8600.00000083455,-513730.90335889906,104713.56664656271,299.93527764820374,403.09646551235755,258
4400000,8800.000000875296,-512892.10340140294,105175.19275329472,301.2575318596342,404.4291394776548,258
4500000,9000.000000916041,-514188.5088043045,104309.57007685828,298.7780940359578,405.1085661250021,258
4600000,9200.000000956787,-513214.57695505954,105143.98183862574,301.1681331823024,404.57290227931674,258
4700000,9400.000000997532,-513353.8366017062,105049.78942684177,300.89833407139895,404.29152943456796,258
4800000,9600.000001038277,-512406.9922919511,105008.22769800783,300.7792871410291,403.1884328350133,258
4900000,9800.000001079023,-512840.93977245735,105295.49388954975,301.6021152394157,403.99748099552346,258
5000000,10000.000001119768,-512361.72561722575,104903.82024690765,300.48022868244396,404.1322283198697,258
5100000,10200.000001160513,-512972.2473722184,104844.33520671737,300.3098432909731,404.40898327370434,258
5200000,10400.000001201259,-515018.8505295799,104614.88942228415,299.652632508616,403.4866822484567,258
5300000,10600.000001242004,-512324.3938251543,104973.59275813552,300.68008089068724,403.6200499801855,258
5400000,10800.00000128275,-513420.7966675847,104377.03659373603,298.97134109190034,401.6560487278984,258
5500000,11000.000001323495,-513647.49997690506,104756.36360873887,300.0578627070828,404.0239991256367,258
5600000,11200.00000136424,-512580.1449549352,104358.2562019088,298.91754766075826,402.61141149313704,258
5700000,11400.000001404986,-514386.24082181975,104376.83787114453,298.97077188279434,402.8063338700179,258
5800000,11600.000001445731,-511688.1519245766,104722.48541958362,299.9608240482355,405.5454907177977,258
5900000,11800.000001486476,-514071.2923610327,104434.80515057512,299.13680989111856,403.4251192427846,258
6000000,12000.000001527222,-513631.20218995586,103577.88520893425,296.68229966050205,403.40285395457005,258
6100000,12200.000001567967,-514402.1603321424,105348.67804094829,301.7544527418718,404.77148067833605,258
6200000,12400.000001608712,-513947.6050477098,104854.6776843369,300.33946766530903,404.2889486018895,258
6300000,12600.000001649458,-513615.1682015448,104814.99298513017,300.22579718634296,406.2836510530732,258
6400000,12800.000001690203,-513749.7104860516,105048.7180773184,300.8952653618989,404.5191734458032,258
6500000,13000.000001730948,-512598.7705907528,105104.70636143337,301.0556348543998,403.0801606517427,258
6600000,13200.000001771694,-513767.6533888113,105732.50754788273,302.8538710256605,404.4921551034663,258
6700000,13400.00000181244,-512613.21857854025,104983.09851682326,300.70730861735694,403.64448948718194,258
6800000,13600.000001853185,-513776.8873164966,105172.97371592291,301.2511757817014,404.7396495066469,258
6900000,13800.00000189393,-514514.1268135207,105135.4398594235,301.14366604794975,403.55270880140654,258
7000000,14000.000001934675,-513094.80190561805,104494.73047405423,299.3084564037097,404.2614077058784,258
7100000,14200.00000197542,-512601.42363088904,104979.91602256149,300.6981928711305,403.3371932450315,258
7200000,14400.000002016166,-513825.94754284713,104846.75286962884,300.3167683000224,403.5428491743035,258
7300000,14600.000002056911,-514407.3072064058,104459.36598069209,299.20716046398434,404.8210112530565,258
7400000,14800.000002097657,-514236.6732747741,104314.5334243256,298.79231075159794,404.1395461098332,258
7500000,15000.000002138402,-512565.64735042024,105479.55131123142,302.1293183100707,405.1242237501486,258
7600000,15200.000002179147,-513936.2538335477,105297.49948738996,301.60785995391944,403.91869123223574,258
7700000,15400.000002219893,-513455.44111603126,105370.67093299354,301.81744786650677,405.716023650125,258
7800000,15600.000002260638,-513714.2480388824,104485.05174217839,299.28073322298513,403.98934074107393,258
7900000,15800.000002301384,-512634.0912943566,105778.3005631927,302.98503779994957,406.1179653758463,258
8000000,16000.000002342129,-512731.3337638499,105431.58592904394,301.99192913802136,403.07137494719393,258
8100000,16200.000002382874,-512216.45128744934,104528.82216907534,299.4061066159899,402.39558104173324,258
8200000,16400.000002423618,-513151.735156192,104715.46576303802,299.9407173638543,403.39826183275204,258
8300000,16600.000002464363,-514250.67926508514,104440.05681411689,299.1518524420789,404.4185181590569,258
8400000,16800.00000250511,-513938.86983649246,103932.45722230719,297.69791452954996,403.34468446754414,258
8500000,17000.000002545854,-513627.13884022925,105087.52916000981,301.00643350596727,404.56423182396077,258
8600000,17200.0000025866,-514437.56047901744,104497.15519416262,299.31540162697183,403.03984802572654,258
8700000,17400.000002627345,-512293.6787316147,104121.67306552781,298.23989307434897,405.3306561179714,258
8800000,17600.00000266809,-514903.97069364507,105811.77763939556,303.0809275348456,403.0871002884837,258
8900000,17800.000002708835,-513124.085411699,104788.6517028982,300.15034679292336,405.1329257492123,258
9000000,18000.00000274958,-513933.12150761625,104276.51568626071,298.6834150164299,403.9371721603169,258
9100000,18200.000002790326,-512061.9565293854,105069.96511609349,300.9561241090345,404.80006524278383,258
9200000,18400.00000283107,-513716.4421629552,104536.33158261294,299.427616131008,403.473912880748,258
9300000,18600.000002871817,-512845.1200596476,104525.58185912808,299.3968252659718,404.07709141579807,258
