#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
100000,200.00000000022686,-513090.03546622535,105730.63305061404,302.8593209368894,403.8015930908383,0
200000,400.00000000118183,-511243.3272683169,106034.4814080958,303.72967709157797,406.2890364477865,263
300000,599.9999999996356,-514262.8933789274,103824.46961674368,297.3992253475596,404.0309726059542,263
400000,799.9999999949063,-513567.35792096984,105659.05961930554,302.654302956974,403.68680408541235,263
500000,999.9999999901769,-513203.5703723454,105239.32811967772,301.4520062026147,404.5660108172737,263
600000,1199.9999999854476,-513480.1687199753,103942.78647645155,297.73813719129515,404.3421462560394,263
700000,1399.9999999807183,-513154.5054307217,105702.88456776302,302.7798370027559,406.4759426665181,263
800000,1599.9999999759889,-513355.24442486605,104794.0842938667,300.17663085636184,403.91205937374514,263
900000,1799.9999999712595,-512725.8474064744,104261.80602824944,298.6519503600563,404.45714846737513,263
1000000,1999.9999999665301,-513028.73952433746,104809.33072306705,300.2203033764357,403.35477441630803,263
1100000,2199.9999999618008,-513501.0840327544,105306.13501695462,301.6433707197788,404.6341767343812,263
1200000,2399.9999999570714,-512499.0953345522,103609.81570706374,296.78436156166896,404.00274782156134,263
1300000,2599.999999952342,-513852.56419005524,104095.5258493739,298.17565034551455,404.7070638891359,263
1400000,2799.9999999476127,-512301.66599476757,105657.13329267979,302.6487851050805,405.32478743962923,263
1500000,2999.9999999428833,-514730.0616332819,104177.74567425717,298.4111643078662,403.5537773108763,263
1600000,3199.999999938154,-513749.9926985209,104810.77326699696,300.224435460605,404.1918639375499,263
1700000,3399.9999999334245,-513630.9167974959,105159.18875998049,301.22245161320257,403.88798296203106,263
1800000,3599.999999928695,-513585.3622885514,104251.38095286279,298.6220883308485,403.40733008587415,263
1900000,3799.999999923966,-515073.63534032274,104533.79312251351,299.4310417576551,402.74336685695437,263
2000000,3999.9999999192364,-513112.33003397426,104178.82931046432,298.41426832149375,405.90034993400826,263
2100000,4199.999999938153,-514515.33174225036,104889.4171803362,300.44970642988346,404.3893227419303,263
2200000,4399.999999978899,-514325.2511827536,106217.03412515658,304.2525888563996,402.9356872614133,262
2300000,4600.000000019644,-512088.38931240933,104455.56960174651,299.20697497873545,405.04740324192284,262
2400000,4800.0000000603895,-513803.4787774328,104301.65244843462,298.76608814028947,402.41817849677545,262
2500000,5000.000000101135,-512837.0821820763,104352.04493843502,298.91043453131635,403.76017329489,262
2600000,5200.00000014188,-512847.33518974436,104393.76075982448,299.0299271038453,403.0630600310454,262
2700000,5400.000000182626,-513680.3609952447,104571.1852189987,299.53814926872514,403.89577691293164,262
2800000,5600.000000223371,-512624.2912774277,104477.27987676195,299.2691628136024,403.8356867928179,262
2900000,5800.000000264116,-514633.4781524674,104331.12292767112,298.8505046340882,404.1938986273153,262
3000000,6000.000000304862,-513895.5068231914,104395.38726868224,299.03458614497606,404.50485691499574,262
3100000,6200.000000345607,-513303.19731511874,104809.17304434173,300.2198517147904,403.6743313851952,262
3200000,6400.000000386352,-512694.37438312033,104001.97430609912,297.9076773271819,405.0846216063754,262
3300000,6600.000000427098,-514537.1358412225,105551.73909355304,302.3468894797802,403.7177930524325,262
3400000,6800.000000467843,-513445.66484672436,104295.26065822819,298.7477792246456,404.27270912297394,262
3500000,7000.0000005085885,-512950.95078625437,105354.12169755879,301.780825808077,403.95308040818827,262
3600000,7200.000000549334,-513259.2104255846,104910.95482437208,300.5113997732323,404.1963782765236,262
3700000,7400.000000590079,-512326.11736401543,103756.20927835559,297.2036975318768,403.5808674844838,262
3800000,7600.000000630825,-511967.5639215205,104731.40946938319,299.9971024242013,403.83252497668843,262
3900000,7800.00000067157,-512396.0281902123,104148.09994724183,298.3262458268783,403.1057676564668,262
4000000,8000.000000712315,-513385.04406424984,104726.48303060816,299.98299092350373,403.45167505450223,262
4100000,8200.00000075306,-513225.39888575673,104602.02567427466,299.62648998014214,403.8904846780713,262
