#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
100000,200.00000000022686,-511887.1442866628,105034.39467052575,300.8542382521289,404.42341525471176,0
200000,400.00000000118183,-513345.20484169014,105036.10951925657,300.8591501622726,404.03030590539936,262
300000,599.9999999996356,-513755.0620591184,104965.53426361317,300.65699862093567,404.3649334687428,262
400000,799.9999999949063,-512686.80037901783,105647.48396665487,302.61033456463724,405.66540930070073,262
500000,999.9999999901769,-513422.0676681623,105026.29229396908,300.8310302893026,406.1919047678017,262
600000,1199.9999999854476,-513563.7222219482,104475.81830292393,299.25428551181335,403.7834954515961,262
700000,1399.9999999807183,-512909.9701745035,105556.59969868418,302.35001110302073,402.63566430921946,262
800000,1599.9999999759889,-513959.99297945667,104834.27521632367,300.281028056152,404.9352636084801,262
900000,1799.9999999712595,-513208.5086270729,104550.3410932158,299.46774413530534,403.81330744825993,262
1000000,1999.9999999665301,-513637.7887597014,104425.86708585871,299.111208233108,404.96392984877787,262
1100000,2199.9999999618008,-512524.6307768333,105853.59716873965,303.2007128935783,403.79625814712193,262
1200000,2399.9999999570714,-514330.6220847834,103895.63964932295,297.5924564754601,403.1355911064552,262
1300000,2599.999999952342,-513048.45140676806,105192.41624391399,301.30686579607055,404.1705675360007,262
1400000,2799.9999999476127,-512734.9044656232,105267.69885480509,301.522500804244,404.91259873707304,262
1500000,2999.9999999428833,-513719.49083485734,105203.16297551151,301.33764809132356,405.28676858151556,262
1600000,3199.999999938154,-512655.8971884069,104301.16905332264,298.75403064658633,404.59809069178414,262
1700000,3399.9999999334245,-513498.76773225656,104797.25261367904,300.1749827273652,404.1962523783639,262
1800000,3599.999999928695,-512715.53052248806,104757.95731018315,300.0624276101845,405.07039880360395,262
1900000,3799.999999923966,-514024.8858985328,105055.18158371316,300.91377904305,403.62115534547246,262
2000000,3999.9999999192364,-512225.4918340156,104099.76747927541,298.17714802320546,404.51478254235394,262
2100000,4199.999999938153,-514911.5565577443,104354.63770465087,298.90718305362583,403.7368401645293,262
2200000,4399.999999978899,-511997.8115400225,104333.6244040454,298.84699381212397,405.87524497352587,262
2300000,4600.000000019644,-513679.08910365216,103396.08224877168,296.1615541345887,404.01154595202615,262
2400000,4800.0000000603895,-514210.9124322599,105211.99701987137,301.36295179964605,403.61745524799784,262
2500000,5000.000000101135,-513393.1968294447,105674.51569133229,302.68776262010397,404.2061682232395,262
2600000,5200.00000014188,-513285.0245797904,104735.6481745296,299.99852665627157,403.6715475776181,262
2700000,5400.000000182626,-512032.94088991964,104241.29437882168,298.58252920989906,404.0322554372734,262
2800000,5600.000000223371,-513949.6562619577,105147.83610991511,301.1791731264695,404.49175271218627,262
2900000,5800.000000264116,-513385.9149422236,104754.20977373567,300.05169339091503,405.4380992540826,262
3000000,6000.000000304862,-512045.31597560504,104603.31323472771,299.6194743693219,404.04971100963945,262
3100000,6200.000000345607,-513818.6757314531,104504.89638124296,299.3375750202639,403.82487859297737,262
3200000,6400.000000386352,-512906.5661688894,105738.90046533229,302.8721825160587,404.08462361665704,262
3300000,6600.000000427098,-513413.28449633345,104533.56464025425,299.41969066679957,403.00870111026387,262
3400000,6800.000000467843,-514940.0111031458,104878.87466534531,300.40877605054914,403.29020436797464,262
3500000,7000.0000005085885,-511216.5686180708,104947.49095309793,300.6053164414207,405.5924200357875,262
3600000,7200.000000549334,-513324.075701918,105196.04374554136,301.3172561947802,404.50303564942783,262
3700000,7400.000000590079,-512335.89469160466,105767.68163602747,302.95462158006876,405.6169130708599,262
