#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
100000,200.00000000022686,-512530.07156741666,104713.38673240063,299.94547733006846,404.4957867647292,0
200000,400.00000000118183,-513683.1452209279,105407.5842057208,301.93396608966196,404.7658266710359,264
300000,599.9999999996356,-511270.26904280996,104758.71143773617,300.07530734322097,405.90895374147163,264
400000,799.9999999949063,-513579.6012053159,104177.67389493226,298.4109587001159,403.6528616924761,263
500000,999.9999999901769,-513198.38614632795,105017.13940586703,300.8155594033949,405.15322905452945,263
600000,1199.9999999854476,-514043.67662458494,105355.04450564788,301.7834691388048,403.2590842810896,263
700000,1399.9999999807183,-512542.79421682376,104278.97306145617,298.7011243399094,405.1661496663141,263
800000,1599.9999999759889,-513701.9787921719,104600.11968556879,299.62103038505114,402.1410603872812,263
900000,1799.9999999712595,-513485.13730621245,104055.67045148782,298.06148684917315,405.4343502587337,263
1000000,1999.9999999665301,-513394.22851906344,105262.77387863945,301.5191652314895,404.6139229685724,264
1100000,2199.9999999618008,-513454.050293243,104630.29126492371,299.70745513983957,404.5337928343097,264
1200000,2399.9999999570714,-513763.0444627302,105027.45889388601,300.84511898365724,404.28955568930195,264
1300000,2599.999999952342,-514481.3395612864,105519.25309749202,302.2538352113707,405.15977643856877,264
1400000,2799.9999999476127,-514275.4130060668,104818.88756932679,300.2476784132156,402.6353953860964,264
1500000,2999.9999999428833,-514652.1502529029,104209.84996918589,298.50312521532254,402.6024674496789,264
1600000,3199.999999938154,-514250.72128490824,104634.53373280022,299.71960744521317,404.1948592628737,264
1700000,3399.9999999334245,-513220.4450969398,104333.67971558927,298.8578284061146,403.81420980244013,264
1800000,3599.999999928695,-513586.86145228567,104269.00042559428,298.6725582977139,403.0594069903699,264
1900000,3799.999999923966,-514055.04502650397,104669.91886876857,299.8209661332436,403.69557988470837,264
2000000,3999.9999999192364,-513559.48471821146,104843.83562042474,300.3191406715623,404.7182089519309,264
2100000,4199.999999938153,-513388.080255168,104791.63843520754,300.16962483482155,403.6557843775281,264
2200000,4399.999999978899,-513521.50319416635,105228.60991372023,301.42130451773596,404.89099531369607,264
2300000,4600.000000019644,-514022.014050934,104608.06781580276,299.64379734724486,403.52555474178916,264
2400000,4800.0000000603895,-513636.40472639166,104710.45459001814,299.9370783767544,405.2912093486301,264
2500000,5000.000000101135,-513359.85209718393,105001.17410898552,300.76982772816916,405.7562253473815,264
2600000,5200.00000014188,-512970.57296961686,105351.91150052426,301.7744948257145,404.1456714055455,264
2700000,5400.000000182626,-512492.827994023,105629.46692366723,302.56953638131733,405.02090063651156,264
2800000,5600.000000223371,-513901.88324474776,104552.40817284549,299.484363499331,403.6135194352553,264
2900000,5800.000000264116,-512856.2359829913,104676.54692943709,299.83995183204513,405.0689427602594,264
3000000,6000.000000304862,-512719.73606840987,104397.10296356317,299.03950065434367,405.03381226293413,264
3100000,6200.000000345607,-514231.49967465503,105445.22255593003,302.0417789803697,404.50585839294496,264
3200000,6400.000000386352,-513219.98079590965,104500.43244017457,299.3354820006798,404.29846580780156,264
3300000,6600.000000427098,-513173.93011571094,104913.51191362395,300.5187244084119,403.67673106914623,264
3400000,6800.000000467843,-513635.41640878934,104421.12345871842,299.10830598200874,403.46946674829064,264
3500000,7000.0000005085885,-513248.39706470165,104237.91930721945,298.5835282206836,405.36261966794194,264
3600000,7200.000000549334,-512098.05201388244,104566.44167605275,299.5245616626171,405.0947895261969,264
3700000,7400.000000590079,-513452.06154434476,104868.29608974513,300.38920627993355,403.79795239743316,264
3800000,7600.000000630825,-514307.5078528165,104850.95784709218,300.33954188046295,401.9294540528876,264
3900000,7800.00000067157,-513256.3768454944,104972.61107652518,300.6880105635003,406.3527063743357,264
4000000,8000.000000712315,-514540.86651601177,105418.3206149058,301.9647199166395,403.7553810269627,264
4100000,8200.00000075306,-512923.9153554016,104477.521497968,299.26985492365867,405.92358139400596,264
4200000,8400.000000793805,-513194.9616306932,104647.2236104118,299.75595687021263,403.56772186986234,264
4300000,8600.00000083455,-513755.5326250149,104240.51023236552,298.5909497768371,402.272111862713,264
4400000,8800.000000875296,-512980.9319828125,105641.77648387128,302.60479640896364,403.60672164007417,264
4500000,9000.000000916041,-512925.13796619466,104892.06471873098,300.4572901514338,404.31145795291246,264
4600000,9200.000000956787,-513594.44081966626,104268.6291452786,298.6714947865909,406.0611151029776,264
4700000,9400.000000997532,-513430.9041682235,104178.35362276452,298.4129057414204,404.37918226203186,264
4800000,9600.000001038277,-514777.1930109202,104724.55807462649,299.97747699774146,403.0828378285055,264
4900000,9800.000001079023,-513253.49402919086,104755.75412519323,300.0668362914292,404.92737569679423,264
5000000,10000.000001119768,-514265.68225423247,104898.95319976425,300.47702180940115,404.58536727587324,264
5100000,10200.000001160513,-513984.46276312135,103821.7664522116,297.39148228813633,405.0722048573454,264
5200000,10400.000001201259,-513763.59630743694,104841.92693402898,300.3136733490937,405.0534442937189,264
5300000,10600.000001242004,-515193.2898518373,104309.15493910949,298.78757859358166,404.1852683119466,264
5400000,10800.00000128275,-514014.5896753096,105104.03037243552,301.06445358260487,402.2988473765422,264
5500000,11000.000001323495,-514868.1436553998,105346.69956141047,301.7595655257073,402.70749585008184,264
5600000,11200.00000136424,-514322.45935647935,104584.41525121639,299.5760459355455,403.53318025876155,264
5700000,11400.000001404986,-513443.7932389532,105460.69230114826,302.0860911763406,405.02578214415024,264
5800000,11600.000001445731,-515285.3984425212,103293.64587618381,295.87871125467433,404.6601953310043,264
5900000,11800.000001486476,-513762.810696241,105226.4870184306,301.4152236062037,402.99692875683587,264
6000000,12000.000001527222,-514410.00761947874,104680.3451147587,299.8508315155778,403.8054807698845,264
6100000,12200.000001567967,-513210.58209778834,104278.49799451203,298.69976353795494,403.34187937685954,264
6200000,12400.000001608712,-513268.0701819197,105200.95529277966,301.3420894456498,405.408614010634,264
6300000,12600.000001649458,-512774.3570604352,103553.40189948282,296.6227674525403,405.051933767299,264
6400000,12800.000001690203,-513859.70464170724,105764.19714498338,302.9554633559336,404.3371179049969,264
6500000,13000.000001730948,-513792.2557412698,104693.32823465971,299.8880209162596,404.4699876989523,264
