#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
100000,200.00000000022686,-512656.5647299164,104302.95071848104,298.7591339417092,405.8043015462438,0
200000,400.00000000118183,-513905.90135451546,104490.36316613015,299.29594694808964,404.24749599193797,268
300000,599.9999999996356,-514612.457605273,104381.43894266,298.9839509168648,404.4845620882466,267
400000,799.9999999949063,-513102.710141344,104389.43790939763,299.00686267879,405.11540240360415,266
500000,999.9999999901769,-514546.4020500984,104761.17506816064,300.07164436368924,404.14251352287266,266
600000,1199.9999999854476,-512764.387550903,103678.7346767566,296.9711668445801,404.1794967000016,265
700000,1399.9999999807183,-512015.01273924345,105031.68034909738,300.84646351216617,405.84687544551997,265
800000,1599.9999999759889,-513765.7648967388,104876.40126801014,300.4016913991499,403.56831092028676,264
900000,1799.9999999712595,-513640.59349028487,105014.85876114969,300.79828076170554,403.871261772229,264
1000000,1999.9999999665301,-514306.53226450086,105181.06165918958,301.274342402675,404.71932532918373,264
1100000,2199.9999999618008,-513613.9204145549,104045.96662776661,298.0230440818368,401.94988960807916,264
1200000,2399.9999999570714,-512887.52943049045,104088.14784297964,298.143865431941,404.4044953245984,264
1300000,2599.999999952342,-513475.6850757706,104871.13515670248,300.38660746487307,403.85847473730786,264
1400000,2799.9999999476127,-513043.53738767235,105367.43354785145,301.80817489412567,404.26343867333645,264
1500000,2999.9999999428833,-514773.0832305164,104416.20795345452,299.08354119193774,403.3149695877081,264
1600000,3199.999999938154,-512051.72481767414,104633.18269634421,299.7050306687591,403.78313318634764,264
1700000,3399.9999999334245,-514559.1040535546,105258.86674039566,301.49720262395607,404.2890876961544,264
1800000,3599.999999928695,-513945.6323974128,104705.66039028484,299.9126314405746,402.78667172853716,264
1900000,3799.999999923966,-512728.4148308048,105221.15293020208,301.38917744160545,405.9311934579579,263
2000000,3999.9999999192364,-513477.70158135844,104452.6662574017,299.1879701772849,404.34540624575413,263
2100000,4199.999999938153,-513591.1595652434,104839.66495025504,300.29646608767865,405.26304590015184,263
2200000,4399.999999978899,-513625.06020678766,104791.34002498986,300.1580470619409,403.6317108443521,263
2300000,4600.000000019644,-513677.2012025174,104417.85693320609,299.08826443091687,404.3804500572199,263
2400000,4800.0000000603895,-514232.2515930482,105223.22440137624,301.39511083974725,403.01327561504576,263
2500000,5000.000000101135,-513207.5031777886,104728.8612832881,299.9790866909063,404.0235518710694,263
2600000,5200.00000014188,-513540.25334454,104924.95309435116,300.5407603467589,403.74426514308306,263
2700000,5400.000000182626,-511628.6181717301,104838.99237138708,300.2945395929945,405.30401617115905,263
2800000,5600.000000223371,-513742.6712820176,104873.45021199831,300.39323857080484,403.8604005496526,263
2900000,5800.000000264116,-514511.1724039372,105650.40556407068,302.61870301354173,405.12070399550964,263
3000000,6000.000000304862,-513191.5133048333,103893.69736999972,297.5868931267294,405.0026017615492,263
3100000,6200.000000345607,-512137.9753833944,104583.95494029313,299.5640256285143,403.88775288327616,263
3200000,6400.000000386352,-513603.86704878835,103765.7488576207,297.22040506014866,404.88276617893365,263
3300000,6600.000000427098,-513668.865299942,104884.64493463899,300.4253040648087,406.00872009059566,263
3400000,6800.000000467843,-512086.84203915996,104359.92698166752,298.92233334237403,404.04606875433973,263
3500000,7000.0000005085885,-514301.57715372415,104845.92756404594,300.31440434407017,404.71303150990536,263
3600000,7200.000000549334,-513247.43973002536,104129.77723897406,298.26310618407825,403.68338318917137,263
3700000,7400.000000590079,-514231.18732403126,104251.50729731913,298.6117824828342,404.6625399087082,263
3800000,7600.000000630825,-512564.9629607755,104201.22272573842,298.4677503633918,403.50585436465616,263
