#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
100000,200.00000000022686,-512364.03370474186,104503.83951744276,299.33454780280294,405.5973364359971,0
200000,400.00000000118183,-512971.1655331589,105269.52271463932,301.5277249592727,403.4079602859164,264
300000,599.9999999996356,-512218.72143924655,104559.40036574486,299.4936929737254,404.9382870071673,263
400000,799.9999999949063,-514636.08534449805,104854.0743883251,300.33773962029437,403.3843064709927,263
500000,999.9999999901769,-511598.2968727886,105397.65274619358,301.8947329585228,402.69441445116735,263
600000,1199.9999999854476,-513332.01822874276,104574.0391935299,299.53562355652144,402.55962519618646,263
700000,1399.9999999807183,-512644.71622386435,104740.76624392223,300.01318654814105,404.4133439356933,263
800000,1599.9999999759889,-513173.3013671506,104266.98961297446,298.6561291018391,404.54146267077294,263
900000,1799.9999999712595,-512982.1191889206,104124.76991132519,298.24876349423647,404.60201418567175,263
1000000,1999.9999999665301,-513780.31522883987,105345.96054999522,301.74666892331203,403.00442850013684,263
1100000,2199.9999999618008,-513324.53959200345,105370.69390117179,301.8175136551829,406.54926452304994,263
1200000,2399.9999999570714,-512644.26269126777,105833.53617685047,303.1432513882083,404.0571574414917,263
1300000,2599.999999952342,-511651.10723890085,104055.97932937054,298.0517238654767,404.7088134430175,263
1400000,2799.9999999476127,-512965.0017240639,105749.34059139586,302.9020865887576,405.42588868410087,263
1500000,2999.9999999428833,-514454.84055835474,104134.1206788203,298.2755472734036,403.13997694690397,263
1600000,3199.999999938154,-513884.5633348096,105039.69816515688,300.86942926496164,403.8754722138878,263
1700000,3399.9999999334245,-513850.22075583413,104606.8646596479,299.6296468584615,404.5527555650699,264
1800000,3599.999999928695,-512547.9888604996,104691.22258742459,299.87127666155027,404.76046768054726,264
1900000,3799.999999923966,-514732.1372439773,104949.72113863553,300.61170445149276,402.75128325309976,264
2000000,3999.9999999192364,-513167.6391704357,104316.35000765772,298.79751406424924,404.9147453351408,264
