#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
100000,200.00000000022686,-512966.0743890307,104476.45412828994,299.26679750456873,404.67057810381084,0
200000,400.00000000118183,-513086.8801345825,104630.99739155552,299.70947779898796,404.5926720262072,264
300000,599.9999999996356,-514025.5796357738,105212.86547057226,301.3762054653352,403.3074025677153,264
400000,799.9999999949063,-512057.3557039164,104266.02101023818,298.66402393368423,404.2460033967868,264
500000,999.9999999901769,-512503.40132021066,103842.93825684942,297.4521277055581,403.0538616082097,264
600000,1199.9999999854476,-511701.5924138096,104318.53012015176,298.8144332607883,404.70310596187034,264
700000,1399.9999999807183,-513748.19978157897,104353.98042495042,298.9159786211872,405.21456706920577,264
800000,1599.9999999759889,-512867.39368001884,104676.66752031248,299.84029725767607,406.0324782655169,264
900000,1799.9999999712595,-513593.1928503956,104416.76906353349,299.0958330672938,405.0047693735418,264
1000000,1999.9999999665301,-511471.56972778216,104752.72027540707,300.05814600310356,406.0429172854584,264
1100000,2199.9999999618008,-514104.02825690573,104041.58387638029,298.0211366644793,404.7121030470023,264
1200000,2399.9999999570714,-512978.14210397797,104717.98326892304,299.9586438447262,404.59099445046127,264
1300000,2599.999999952342,-513567.058557895,104655.98963521057,299.7810666443743,405.0587472461244,264
1400000,2799.9999999476127,-513517.6842322941,105249.75042184012,301.48186028808107,404.830502646271,264
1500000,2999.9999999428833,-512684.90590614034,104862.63972634636,300.3730039521077,405.7838829711562,264
1600000,3199.999999938154,-513882.09869635524,103777.59954668226,297.2649687259779,404.03721785698696,264
1700000,3399.9999999334245,-514249.09907806106,103871.9229160889,297.5351525959004,404.07211037890727,265
1800000,3599.999999928695,-513678.9863958289,104673.81339625845,299.8321217833794,404.0529148732833,264
1900000,3799.999999923966,-514220.59356110357,105783.48860358912,303.01072263022945,404.77307343444113,265
2000000,3999.9999999192364,-514789.16924517835,105476.41921757726,302.1311400244624,404.13220805489914,264
2100000,4199.999999938153,-514786.0276909708,104971.75362654845,300.6855544473285,406.1900671956815,265
2200000,4399.999999978899,-514756.36167840846,105243.10935691465,301.46283733933296,402.36509493390764,265
2300000,4600.000000019644,-512350.1514808121,104966.3676209554,300.67012654389686,404.72988275118195,265
2400000,4800.0000000603895,-513389.2808132847,104882.1930381872,300.42901328994407,404.01176471470376,265
2500000,5000.000000101135,-512539.6634554658,105972.258143574,303.5514421269719,405.5010508672642,265
2600000,5200.00000014188,-513061.5222612084,103605.39274809089,296.77169224992457,403.28057799374494,264
2700000,5400.000000182626,-512636.2869546111,104399.32551488234,299.0458670248443,403.8013852997034,265
2800000,5600.000000223371,-513938.855264205,104725.01266366907,299.978779141924,404.52609071254733,265
2900000,5800.000000264116,-514061.65057024546,105690.2181638293,302.7435548167574,403.40199613913006,265
3000000,6000.000000304862,-513631.02253900236,104694.3328101217,299.8908984649271,404.50265521770064,265
3100000,6200.000000345607,-513497.1581970118,105207.22235829092,301.3600410945735,403.0181352900417,265
3200000,6400.000000386352,-512483.69695825456,104659.8224280269,299.7920454590863,405.17982017074416,265
3300000,6600.000000427098,-513540.17397324275,104275.49381790275,298.6911582467389,405.14791275391195,265
3400000,6800.000000467843,-514209.8476180872,104893.67096652981,300.4618911559258,403.54875975413785,265
3500000,7000.0000005085885,-514264.5857510292,105350.71652966994,301.77107190038964,405.0198111457912,265
3600000,7200.000000549334,-513824.9953622939,104602.08486696676,299.6266595342063,404.19149133342756,265
3700000,7400.000000590079,-512631.27390444186,104481.05774324923,299.279984295002,404.74777626717315,265
3800000,7600.000000630825,-513490.5168052111,104302.87550525706,298.7695915162556,403.76929879270284,265
3900000,7800.00000067157,-513083.5561825731,104296.02724205761,298.7499750599615,404.88355785062856,265
4000000,8000.000000712315,-512700.13238086645,104412.23086086183,299.08283364659843,403.57877330711733,265
4100000,8200.00000075306,-513628.57491690153,104744.28333723979,300.03397887868175,403.23843806658823,265
4200000,8400.000000793805,-513080.84172534756,104624.85966087086,299.69189662224085,402.5758965545895,265
4300000,8600.00000083455,-515073.77205877844,104599.01607431352,299.61786915404645,404.3976795055686,265
4400000,8800.000000875296,-513665.3691168665,104725.84307446983,299.9811578059304,404.10426049629933,265
4500000,9000.000000916041,-512734.94870070554,104907.58477892465,300.50174647175965,404.8635553336114,265
4600000,9200.000000956787,-513056.52599437535,105095.5626874552,301.04019838570446,404.2221784526653,265
4700000,9400.000000997532,-514851.51303186594,104207.71177346015,298.49700047657046,404.6441302222872,265
4800000,9600.000001038277,-514557.84645490814,104711.17696505971,299.9391475785386,403.3747049261741,265
4900000,9800.000001079023,-513390.06282372074,103980.87813624542,297.8472485612517,403.30974394477937,265
5000000,10000.000001119768,-512677.4068409521,104365.73525429117,298.9496496541617,404.3088162355811,265
5100000,10200.000001160513,-514841.15647505224,105091.02763674036,301.0272079936082,403.1574901817489,265
5200000,10400.000001201259,-512612.8505309792,104606.65026714432,299.6397368605939,403.8274132679249,265
5300000,10600.000001242004,-513571.50728895934,105070.89019031951,300.9695254358437,403.3871273239581,265
