#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
100000,200.00000000022686,-513312.2232643962,104602.0557972067,299.62657626554955,404.4745368190231,0
200000,400.00000000118183,-513148.38527392317,104859.99171991338,300.3654188898888,404.2418661240611,251
300000,599.9999999996356,-511823.1800185023,104582.14897698828,299.5695543232854,405.8862462599578,252
400000,799.9999999949063,-514594.6609069193,105421.87203536351,301.9748927564037,403.296084500142,254
500000,999.9999999901769,-512391.8668931583,105546.88835437351,302.3329948162227,404.31440738283294,255
600000,1199.9999999854476,-514435.0129061346,104608.18205467379,299.6441245779244,405.06516046614115,255
700000,1399.9999999807183,-513064.3891745922,104975.09520576868,300.69512620892965,404.5213395878545,256
800000,1599.9999999759889,-513245.9586929069,104405.74133678363,299.06424477789676,404.8972417302529,257
900000,1799.9999999712595,-511979.12374514295,105405.0293851893,301.9266479531015,405.33073051522,257
1000000,1999.9999999665301,-513014.4570472343,104488.94792043092,299.3025852540086,403.8474483693446,257
1100000,2199.9999999618008,-512364.70380244544,104796.4009830623,300.1832668793984,406.5893757147645,257
1200000,2399.9999999570714,-512107.6086362186,105362.57614057156,301.80504307412247,403.61695182397966,257
1300000,2599.999999952342,-512759.819576886,104466.52485390159,299.23835566882167,404.8115118711412,258
1400000,2799.9999999476127,-513608.1908049374,104423.92294454988,299.1163249482575,405.215829074121,258
1500000,2999.9999999428833,-512449.9533302849,104378.72381777043,298.98685464766055,403.95272497371747,258
1600000,3199.999999938154,-514137.1809751126,104507.30279639154,299.35516174115264,403.1540806978323,258
1700000,3399.9999999334245,-512483.6448940472,104204.07599599485,298.48658600100697,404.90619718945726,258
1800000,3599.999999928695,-513331.06685050717,104158.24653551495,298.35531014575696,402.50997792811165,258
1900000,3799.999999923966,-512888.5810882817,104958.68216284295,300.6481119908968,404.42442114364445,258
2000000,3999.9999999192364,-513975.28965286445,105745.0548467962,302.9006313430829,404.5352837188289,258
2100000,4199.999999938153,-512453.9147991496,104230.8109530838,298.5631667488529,403.5742524843628,258
2200000,4399.999999978899,-514743.27311831247,104937.48363708728,300.5873900323689,403.80331697138087,258
2300000,4600.000000019644,-513556.40854439605,104654.91511416493,299.7779887406029,404.0987478998145,258
2400000,4800.0000000603895,-514202.87767281616,103637.46267686086,296.86355471749454,405.6469270895747,258
2500000,5000.000000101135,-513559.92925250204,106007.91564738975,303.65358099704537,404.1657707388907,258
2600000,5200.00000014188,-513023.9842862794,104617.39085873679,299.67050266783735,402.62550170475356,258
2700000,5400.000000182626,-513763.8890732494,104769.85018923465,300.10721365662874,404.1014702573998,258
2800000,5600.000000223371,-513815.51019042777,105643.15590653708,302.60874768590014,406.1219183885301,258
2900000,5800.000000264116,-514682.08111012494,103898.80828577839,297.61216419199485,404.2144679372309,258
3000000,6000.000000304862,-513105.3725878666,104754.87444151193,300.06431648808865,404.66382025837055,258
3100000,6200.000000345607,-512589.2987226704,105074.75274056106,300.98058948898984,403.2768933103055,258
3200000,6400.000000386352,-513622.38212410687,105011.82763532986,300.8003441420137,403.7532025151837,258
3300000,6600.000000427098,-513804.5817450201,103682.05251585564,296.9912797482544,405.5477564545237,258
3400000,6800.000000467843,-513708.8765883711,105324.65837064257,301.6964298016886,403.68419945637,258
3500000,7000.0000005085885,-514375.89412851306,104499.291287839,299.33221323540846,402.98532761488315,258
3600000,7200.000000549334,-514478.7003581207,105493.45972694916,302.1799515840633,404.3377175180704,259
3700000,7400.000000590079,-513174.7993252771,104218.73737522375,298.5285826790665,405.5875302789827,259
3800000,7600.000000630825,-514259.1614077408,105538.3020903254,302.3083999563986,404.903879120823,259
3900000,7800.00000067157,-514268.0538846082,105360.6787750044,301.7996081795166,404.8137136300834,259
4000000,8000.000000712315,-512045.6299781068,104092.44790727849,298.16683375730355,405.5761709589013,259
4100000,8200.00000075306,-513177.10575346556,104134.97957564707,298.28866327660904,404.350960657244,259
4200000,8400.000000793805,-512414.7603234849,104650.99896945083,299.76677116917085,404.3993226991649,259
4300000,8600.00000083455,-512812.6649174052,105047.29434285976,300.90193648709345,405.1491854739733,259
4400000,8800.000000875296,-512734.5673355018,103800.97695752892,297.3319319756058,404.7416845667804,259
4500000,9000.000000916041,-513771.686409893,104963.85058142536,300.66291662884345,404.0249583812935,259
4600000,9200.000000956787,-513133.43310460774,104451.74607617193,299.19602270950475,403.9206250671767,259
4700000,9400.000000997532,-512930.38402285706,105150.31496421318,301.19703313529624,403.613410905844,259
4800000,9600.000001038277,-513748.4394165152,105745.82009867387,302.90282336309957,403.53596036616136,259
4900000,9800.000001079023,-512414.9506000001,104386.71482628619,299.00974443222776,404.44269547865724,259
5000000,10000.000001119768,-513529.8368162983,104445.92774506484,299.17935643448834,405.82887405100627,259
5100000,10200.000001160513,-514413.5126999174,105194.14858427196,301.3225920203816,402.8993369458676,259
5200000,10400.000001201259,-513307.71460534073,104796.72576542012,300.1841971997938,404.3707207507816,259
5300000,10600.000001242004,-513211.78321845736,104438.95392168494,299.1593803182746,403.31386706978947,259
5400000,10800.00000128275,-513222.5671998118,104606.67089678325,299.6397959530089,404.84692540800285,259
5500000,11000.000001323495,-513429.4509828971,104635.16178009548,299.72140645059005,403.5343477315248,259
5600000,11200.00000136424,-513955.96415771265,104178.30048663336,298.41275353602697,404.5808960222152,259
5700000,11400.000001404986,-513309.99108573,105366.66270075669,301.81674879087575,405.1384809201458,259
5800000,11600.000001445731,-513364.1281812894,104131.48519655748,298.2786538285651,404.03309674721305,259
5900000,11800.000001486476,-513542.47555198846,104860.401803463,300.36659355064495,403.74016273900696,259
6000000,12000.000001527222,-514210.57457640907,104726.09243525215,299.98187208555805,402.61297014818814,259
6100000,12200.000001567967,-513562.56399561185,104939.02632989504,300.5918089872422,404.9175534892927,259
