#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
100000,200.00000000022686,-512618.9423917127,104370.30318044499,298.9520543055779,403.68301190239697,0
200000,400.00000000118183,-512622.01740526175,105290.44220740988,301.5876455032226,403.53311086716667,262
300000,599.9999999996356,-513192.69253230374,105271.25668016824,301.53269162642965,404.48667302890556,262
400000,799.9999999949063,-511889.1091309581,105439.1695146379,302.0136511070416,405.51632168101116,262
500000,999.9999999901769,-513997.36564141884,104375.83878300736,298.9679101544872,404.4274257726156,262
600000,1199.9999999854476,-512356.84249992715,105030.91483133537,300.8442708088723,404.95638596263814,262
700000,1399.9999999807183,-514154.23733435245,104476.41211521605,299.2559863922285,404.69057453175895,262
800000,1599.9999999759889,-513150.3563551409,104320.14740278368,298.8083910957354,404.32374665708033,262
900000,1799.9999999712595,-513118.09805623814,104577.40596618666,299.5452671387613,404.32490797595096,262
1000000,1999.9999999665301,-513940.0225301124,104188.56042893918,298.43148123774006,403.3234216056676,262
1100000,2199.9999999618008,-513759.7042387971,104643.90228116402,299.73573520640565,404.31004967105184,262
1200000,2399.9999999570714,-513655.59482870623,104762.12853562899,300.0743754188811,404.255403160614,262
1300000,2599.999999952342,-513325.25677145366,104540.29374490131,299.4389651116999,404.19778522825584,262
1400000,2799.9999999476127,-513115.8481814321,104848.95525246926,300.3230766737115,404.9555884270072,262
1500000,2999.9999999428833,-512738.8921524794,104568.50100661552,299.5197603051489,403.7946704414539,262
1600000,3199.999999938154,-513133.83894025814,104631.62144816545,299.70055872285013,404.3261836412971,262
1700000,3399.9999999334245,-513562.72437951295,104846.91844890174,300.3172425753888,404.0275758455622,262
1800000,3599.999999928695,-512758.92416812386,104412.79107819451,299.0737540987977,404.10447211760163,262
1900000,3799.999999923966,-514073.5538440845,104696.69626749944,299.8869551433897,404.22616638049107,262
2000000,3999.9999999192364,-512943.3995281365,104978.3924107448,300.6938287285662,403.27093355034344,262
2100000,4199.999999938153,-512889.2807553974,105562.24161548936,302.3661714720887,404.26436649282675,262
