#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
100000,200.00000000022686,-513500.14491441706,104429.97540359065,299.13366186928215,404.4154831632571,0
200000,400.00000000118183,-513404.5186728765,104351.30276970135,298.9083086316388,405.6270629337536,261
300000,599.9999999996356,-513476.3385799383,105799.21967322216,303.0557833749655,404.5634592661259,261
400000,799.9999999949063,-513024.6875423221,104618.43632078863,299.6734973337913,404.61966679004865,261
500000,999.9999999901769,-513932.9076436693,104683.04244301893,299.85855785733577,404.9746056947864,261
600000,1199.9999999854476,-512000.8519297438,105199.09743755768,301.3367677261566,404.17658542006507,261
700000,1399.9999999807183,-513297.31193836266,104306.83948150184,298.78094609835796,405.1285239315275,261
800000,1599.9999999759889,-514394.6277376618,104447.46530718639,299.1837606928059,403.0223712327251,261
900000,1799.9999999712595,-512726.5074854023,104701.12692045554,299.9103598034503,404.2247678642612,261
1000000,1999.9999999665301,-512677.45778149227,104633.25865910552,299.7159550699064,404.6518760123988,261
1100000,2199.9999999618008,-514270.4066854622,104761.49777979695,300.0832886598941,404.30883799782896,261
1200000,2399.9999999570714,-513184.616291116,105658.05617062794,302.65142863591564,405.4021255414888,261
1300000,2599.999999952342,-512555.1852712524,105084.0943186651,301.0073479025114,404.3398293802774,261
1400000,2799.9999999476127,-513983.85945849307,104504.32531986176,299.3466329307796,404.52550305216283,261
1500000,2999.9999999428833,-513009.3582531698,104474.42500143408,299.26098518732505,404.1757009777604,261
1600000,3199.999999938154,-512358.96927660936,103528.04585961165,296.55013653380405,405.5283903875015,261
1700000,3399.9999999334245,-514919.0439984286,106411.99226098144,304.8110352302029,403.34718633583356,261
1800000,3599.999999928695,-512407.41589295305,103927.61026127951,297.6946657952694,405.1490483687478,261
1900000,3799.999999923966,-512596.9055331773,103792.23620196385,297.3068945837116,405.1505043549619,261
2000000,3999.9999999192364,-512504.41527295765,105572.81369248309,302.4072564570394,403.36511787469067,261
2100000,4199.999999938153,-513973.25521410303,104237.99874402024,298.5837557628334,404.68027735226883,261
2200000,4399.999999978899,-513309.35512360604,104971.9438921521,300.6860994522136,404.5261104118602,261
2300000,4600.000000019644,-513422.4670293415,104482.80635308684,299.2849930873711,404.86098304044094,261
2400000,4800.0000000603895,-512366.40127129015,104669.21329001081,299.81894504344893,405.4675724774726,261
2500000,5000.000000101135,-513577.0778957065,106335.20167414189,304.5910730081528,404.6700864334535,261
2600000,5200.00000014188,-513200.56639988907,104627.95171462186,299.7007536324781,404.5315360606491,261
2700000,5400.000000182626,-513833.82896122895,104720.25160142832,299.965141352803,405.5481484641783,261
2800000,5600.000000223371,-512779.84111650055,105534.20882209309,302.29667502482977,405.7577732267191,261
2900000,5800.000000264116,-513512.40265680104,104506.33044484572,299.35237649604073,403.47138349448124,261
3000000,6000.000000304862,-513112.9506316199,104762.7732367412,300.08694213299714,404.9334682865494,261
