#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
100000,200.00000000022686,-511864.37119402597,104472.79184628889,299.24561671043267,405.05766408391077,0
200000,400.00000000118183,-512516.82598875463,105302.87374787469,301.62325366423096,404.6781464474073,263
300000,599.9999999996356,-512896.4306565258,105057.19036940846,300.9195328886553,404.97910588861834,262
400000,799.9999999949063,-514008.4860125659,104608.90536602668,299.6354921357634,404.30560372617697,262
500000,999.9999999901769,-513269.2074567154,104278.30115182773,298.68852919721587,405.18603413848257,262
600000,1199.9999999854476,-515079.0319216992,105041.4482005514,300.8744419616805,402.6617898423047,262
700000,1399.9999999807183,-512805.6097894111,104489.02738923713,299.2921208286468,404.63836677043986,262
800000,1599.9999999759889,-513687.19879360124,104469.35977198937,299.2357860820729,403.36850516084263,262
900000,1799.9999999712595,-513060.19103363995,105061.00114749605,300.9304482534963,403.89254934746964,262
1000000,1999.9999999665301,-512853.3174330406,105023.18939099507,300.8221425196007,404.3991753443298,262
1100000,2199.9999999618008,-512497.85839745356,104522.12248232614,299.38691643395697,404.1835734486027,262
1200000,2399.9999999570714,-514223.72689517215,104913.69533238513,300.50851428668176,404.0971018391771,262
1300000,2599.999999952342,-513794.1856034994,104531.66109662328,299.4142382702692,402.2591966105157,262
1400000,2799.9999999476127,-513527.816473213,104637.87730461021,299.71847762390354,404.5043282274828,262
1500000,2999.9999999428833,-513548.86493214406,104850.27910519904,300.3268686382944,405.973498845904,262
1600000,3199.999999938154,-514595.74243093235,104658.05323944683,299.7762683649778,403.1536286827932,262
1700000,3399.9999999334245,-513615.1651952835,105662.04694049468,302.65204787592927,405.19197337414005,262
1800000,3599.999999928695,-513649.68861071905,105084.29691752291,300.99717526390003,404.76751475652395,262
1900000,3799.999999923966,-513781.62942450633,105580.95584567776,302.41977539378945,404.075782537333,262
2000000,3999.9999999192364,-513250.58663410693,104784.31245297065,300.1379177049505,405.34360856139807,262
2100000,4199.999999938153,-512393.34377622884,105302.57629963342,301.6224016712783,404.1506609922225,262
2200000,4399.999999978899,-513490.89478093665,104375.36242983525,298.9665457169504,405.7930176487114,262
2300000,4600.000000019644,-513703.02838981757,104787.52443219972,300.14711790615377,404.2297266617545,262
2400000,4800.0000000603895,-513741.36235520523,104961.2983715058,300.6448655849213,403.9035361230649,262
2500000,5000.000000101135,-514140.1165135298,104818.15315177932,300.2348489786912,401.92277140583474,262
2600000,5200.00000014188,-512916.3538438957,105865.99646351082,303.2362286919503,402.9643079917555,262
2700000,5400.000000182626,-512910.7472036234,104567.20829289872,299.51605753329244,404.96976355484475,262
2800000,5600.000000223371,-513046.7290799762,104393.96250148688,299.019822649766,404.51656898676765,262
2900000,5800.000000264116,-513209.2737242668,104792.45230054698,300.16123299752434,404.1255028995074,262
3000000,6000.000000304862,-513192.5692442497,104821.89682107582,300.24557212112467,403.1777251092875,262
3100000,6200.000000345607,-513327.2551801433,104154.94101903401,298.3351838106998,405.0388473441089,262
3200000,6400.000000386352,-513682.82985093724,105100.84880001453,301.0445854861827,403.4895639870816,262
3300000,6600.000000427098,-513400.5547143016,104841.98928272515,300.30312376659356,404.15612255799266,262
3400000,6800.000000467843,-513188.24107338814,103903.85165351257,297.6159784491216,402.94523446041165,262
3500000,7000.0000005085885,-513503.71003300976,104069.89012642298,298.09156912058404,404.5892847210636,262
3600000,7200.000000549334,-512797.40771046653,104096.33641312085,298.16732028251573,404.8770604805741,262
3700000,7400.000000590079,-514156.5742064337,104539.58276321663,299.43692861828424,404.433227077148,262
3800000,7600.000000630825,-513754.6065492062,104453.81179339066,299.19125138206005,403.17253441977834,262
3900000,7800.00000067157,-513331.8635723833,104852.20635880192,300.33238894825035,403.13677531077644,262
4000000,8000.000000712315,-514074.8041210263,105045.55390392651,300.8862020928764,403.98150595679573,262
4100000,8200.00000075306,-514211.22680361103,104775.01976262685,300.11130027850203,403.7828560250943,262
4200000,8400.000000793805,-514029.67383529386,104407.3155554451,299.0580703389115,403.999707593388,262
4300000,8600.00000083455,-512980.2713431823,104695.00351947354,299.8821065371833,405.0716880718188,262
4400000,8800.000000875296,-514003.7514891173,105027.33654253685,300.8340213724463,402.8048523195882,262
4500000,9000.000000916041,-512777.851701139,104535.168589151,299.4242849220913,404.81476960829264,262
4600000,9200.000000956787,-514719.7152203694,104416.4070265916,299.08411140512555,402.9140841475963,262
4700000,9400.000000997532,-512316.826142841,105253.38234532293,301.48149345071755,404.8183548589335,262
4800000,9600.000001038277,-512307.5164256543,104664.27311146003,299.79408419437755,405.42382018138,262
4900000,9800.000001079023,-513489.00322107505,105657.18362870347,302.6381176964969,403.77916918794875,262
5000000,10000.000001119768,-513174.4297892535,105001.34214701617,300.759564580576,405.0143282166727,262
5100000,10200.000001160513,-514042.416452697,104597.49985331821,299.60282286729625,403.0251130592092,262
5200000,10400.000001201259,-513404.25937842624,104882.62701208971,300.4195240481454,404.4073024712586,262
5300000,10600.000001242004,-512462.6667050482,104918.71289396007,300.5228862899693,405.26204213917015,262
5400000,10800.00000128275,-514102.3687930382,104980.89233710954,300.700989368131,404.3220061546419,262
5500000,11000.000001323495,-514710.16991475923,105039.6120061801,300.8691824763415,403.3725273188384,262
5600000,11200.00000136424,-512606.9248612765,104705.60414715554,299.9124703411188,403.371838377137,262
5700000,11400.000001404986,-513497.88696472766,105009.50255052216,300.78293875232544,404.5995233000806,262
5800000,11600.000001445731,-512085.9827130488,105252.55878368777,301.47913449002493,405.71016265604385,262
5900000,11800.000001486476,-512759.71589130117,104593.7296686437,299.5920237757998,403.99383195752114,262
6000000,12000.000001527222,-513107.9644679767,105116.3526083976,301.0889936676715,402.60176656285046,262
6100000,12200.000001567967,-514845.3283473258,104659.05904554424,299.77914933580854,403.1068989767865,262
6200000,12400.000001608712,-514042.1554477252,103490.10931016481,296.43087962572184,403.23531058643067,262
6300000,12600.000001649458,-512744.64687903086,105237.85681486863,301.43702304982713,404.1432364942383,262
6400000,12800.000001690203,-514320.98026773194,103973.0665905698,297.81423357525756,404.44638003351696,262
6500000,13000.000001730948,-513838.8364744345,104289.08905905148,298.71942943347005,404.18663916527896,262
6600000,13200.000001771694,-513223.52223996166,105481.77589999553,302.13569028907955,404.02088836338504,262
6700000,13400.00000181244,-512074.6560507845,105537.82505929458,302.29623414881695,405.0527687028907,262
6800000,13600.000001853185,-512338.88861535443,105176.03629931848,301.2599480624143,404.24927799504377,262
6900000,13800.00000189393,-513673.5316509269,104665.71431856442,299.79821230181244,404.0545078170019,262
7000000,14000.000001934675,-513309.5545927384,105447.77302979873,302.0382945013137,404.6110661679341,262
7100000,14200.00000197542,-513607.9653712516,103445.04958170139,296.3018132344199,403.4010178174637,262
7200000,14400.000002016166,-513493.2368216389,104301.89999517042,298.75612431269934,404.7607536074915,262
7300000,14600.000002056911,-514922.00987134315,105020.6203821312,300.81478400425686,404.0575515307392,262
7400000,14800.000002097657,-513439.19879073603,105127.27343887324,301.1202746413386,405.5740905249178,262
7500000,15000.000002138402,-514255.88197732344,105030.66514377279,300.8435556187512,403.6217021593288,262
7600000,15200.000002179147,-512984.0094767362,104654.08872872723,299.76491265758,404.93294806946943,262
7700000,15400.000002219893,-513392.5628158641,105387.44994336582,301.8655086603069,404.29485742779514,262
7800000,15600.000002260638,-512786.0564226266,104995.90465365775,300.74398974980295,405.2424007181751,262
7900000,15800.000002301384,-513235.05673168413,105916.34110455099,303.38043287075976,404.435673763459,262
8000000,16000.000002342129,-514465.87802142836,104570.86910843386,299.52654335436716,402.787279440281,262
8100000,16200.000002382874,-513029.71229959,105579.98056056236,302.41698184543424,404.5189194212484,262
8200000,16400.000002423618,-513990.4511806504,103911.90163486416,297.639036334256,403.47265628326994,262
8300000,16600.000002464363,-513381.61127062,104253.05668154487,298.61622044634566,404.2181343771666,262
8400000,16800.00000250511,-513941.26887229225,103789.39765026793,297.28814324743274,403.881680428525,262
8500000,17000.000002545854,-513297.892809032,104648.49982745771,299.7489041430416,404.24869136544027,262
8600000,17200.0000025866,-513444.84959208267,104248.90373226651,298.6043249868102,404.18480478674053,262
8700000,17400.000002627345,-514601.1611078875,104459.72048727248,299.2081758914311,403.37375392928044,262
8800000,17600.00000266809,-512982.2523551816,104810.24899980216,300.2122087984952,404.3383005222037,262
8900000,17800.000002708835,-514176.1490506623,104276.0396154903,298.6820513877876,404.49276267351075,262
9000000,18000.00000274958,-512283.09871491,104954.60710280236,300.625699515035,404.710008533037,262
9100000,18200.000002790326,-513917.1993410452,104642.80579244741,299.732594489704,404.3457197800988,262
9200000,18400.00000283107,-512677.063546665,104287.0234203081,298.71351274139414,404.71493930503084,262
9300000,18600.000002871817,-513556.53593010874,104728.6909956953,299.97859892930995,404.0888501520992,262
9400000,18800.000002912562,-512930.3316788245,104518.98382693395,299.3779262571666,403.5590008037286,262
9500000,19000.000002953308,-513881.18508237274,104522.39740211639,299.3877038977618,404.487716385711,262
