#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
100000,200.00000000022686,-512779.41623627767,105661.39123774483,302.6501697201885,404.38534452563607,0
200000,400.00000000118183,-513206.45908928383,105352.15563083062,301.7644137423448,405.3615476246011,261
300000,599.9999999996356,-514513.448399093,104406.71327445493,299.05634520126415,403.47304388682767,260
400000,799.9999999949063,-513480.88696734933,104387.90349585205,299.0024675963994,405.9351236618296,260
500000,999.9999999901769,-511704.7496893662,105257.21447560936,301.49246997552,405.2503760194007,260
600000,1199.9999999854476,-512806.41238879925,103764.46262182394,297.21672084325894,405.79053574939064,260
700000,1399.9999999807183,-514670.8864491391,105140.12326120137,301.1570809038999,403.3075596359508,260
800000,1599.9999999759889,-513970.6398092103,104502.62444870156,299.3310674325709,402.8550910872565,260
900000,1799.9999999712595,-513791.5480183116,104760.37250325829,300.0693455447823,404.36689869332184,260
1000000,1999.9999999665301,-511881.66265142895,105363.43980834284,301.79673546553266,405.6143837581202,260
1100000,2199.9999999618008,-511736.5350587615,104838.72399550327,300.2937708731638,404.7890505466427,260
1200000,2399.9999999570714,-512374.7160172048,103045.60878053715,295.1576788931115,405.1848311061856,260
1300000,2599.999999952342,-513446.75903136935,104669.65637471527,299.8095036916865,403.98780504535875,260
1400000,2799.9999999476127,-514204.7074124804,105614.70865083579,302.516454910214,402.88043146726227,260
1500000,2999.9999999428833,-514173.67565195775,104375.793243594,298.9677797141151,404.69922197521663,260
1600000,3199.999999938154,-514586.44550816715,104520.13557186385,299.3812252464608,401.67001887868383,260
1700000,3399.9999999334245,-514291.16934013786,104237.58050464839,298.5718914108345,404.3149329789395,260
1800000,3599.999999928695,-513304.209249842,104658.05000181224,299.7762590912909,404.4143202875652,260
1900000,3799.999999923966,-512225.4605363435,104698.88352086337,299.8932201811112,405.0100109268072,260
2000000,3999.9999999192364,-513039.9800588228,105771.43058230652,302.9653598375755,404.34142083481345,260
2100000,4199.999999938153,-513640.9365370893,104666.53908580972,299.8005747157826,402.918070071932,260
2200000,4399.999999978899,-514557.3204906923,104199.25349476759,298.4621098159737,403.00369697615923,260
2300000,4600.000000019644,-514614.7112816456,104997.82328035604,300.7494853493693,403.85481605940214,260
2400000,4800.0000000603895,-513806.31805713754,104973.70507594489,300.68040260710296,404.22417843196257,260
2500000,5000.000000101135,-513503.1851530452,104718.05070433702,299.94812151511223,404.978474623055,260
2600000,5200.00000014188,-513701.3890775293,104315.8890252161,298.79619365371366,403.7602100429354,260
2700000,5400.000000182626,-514070.4800387556,105067.23870107808,300.94831472892434,403.39897467320924,260
2800000,5600.000000223371,-514086.6170059666,105540.37177463138,302.3035288079151,405.1636133583661,260
2900000,5800.000000264116,-512709.2363453829,105223.02880845917,301.3945505950935,404.6907131755258,260
3000000,6000.000000304862,-514224.11402934045,104682.89576942904,299.8474258220898,404.42765147631565,260
3100000,6200.000000345607,-512276.5788888312,104777.37926417388,300.1180586936175,406.0491380944205,260
3200000,6400.000000386352,-512920.0612955503,106195.00152767845,304.1786111207893,405.5582501449451,260
3300000,6600.000000427098,-513481.60213564755,104993.4320326331,300.7369073220212,403.73048077676515,260
3400000,6800.000000467843,-513433.41785313515,104366.38792906051,298.9408396936735,404.91071988979775,260
3500000,7000.0000005085885,-514163.16360770166,104427.93015492849,299.1171175647645,404.24578198361456,260
3600000,7200.000000549334,-513469.8162450115,104583.82207804755,299.5636450658442,404.22443188898734,260
3700000,7400.000000590079,-513894.5839519766,104934.2354222447,300.5673480916245,403.17567862952745,260
3800000,7600.000000630825,-514296.7120514116,104224.67659891097,298.53493023499027,402.6021018533591,261
3900000,7800.00000067157,-513127.13347531296,104550.11787316401,299.4671047571392,406.3238857028767,261
4000000,8000.000000712315,-512513.23761292314,104406.7373963769,299.05641429465476,404.3403636543441,261
4100000,8200.00000075306,-513635.7074607578,104827.38055509963,300.26127940089424,405.2563125270342,261
4200000,8400.000000793805,-512959.37644963944,104395.17489815703,299.0232953662776,404.1460927703079,261
4300000,8600.00000083455,-511940.84106954886,105165.5044837463,301.2297813597707,405.4836759969286,261
4400000,8800.000000875296,-512944.13331091637,105089.8441020759,301.01306428757056,405.5481112215357,261
4500000,9000.000000916041,-513274.55783589,105221.09633262584,301.389015326893,404.57558105606023,261
4600000,9200.000000956787,-514676.24660187634,104795.23595412134,300.16920632833944,403.18783310431303,261
4700000,9400.000000997532,-513263.7401104085,104354.80078064534,298.9076501587512,405.28687044151064,261
4800000,9600.000001038277,-513198.26944065373,105426.19051768022,301.97647484439705,404.9666418654357,261
4900000,9800.000001079023,-513557.6662632716,104786.52353619729,300.1442509995056,404.0356966548014,261
5000000,10000.000001119768,-513876.5599907213,104719.69786504493,299.9528395437315,403.6666083464401,261
5100000,10200.000001160513,-514811.68786951806,105383.58978449978,301.85445185211734,403.3352104691735,261
5200000,10400.000001201259,-513398.4063447756,104443.08183867484,299.1605171415036,406.0382068075239,261
5300000,10600.000001242004,-513719.5139644253,105063.74224979873,300.9382997029937,404.02204467816364,261
5400000,10800.00000128275,-513295.2801167439,105285.46998444304,301.5734033651325,404.96514314663335,261
5500000,11000.000001323495,-513744.96139872726,105214.66165196744,301.3705842124571,404.1691703649601,261
5600000,11200.00000136424,-513122.15293229045,105104.88867906033,301.0561570741065,404.70240720796033,261
5700000,11400.000001404986,-513771.2044049497,103726.8596868657,297.10901324530124,403.92559434014805,261
5800000,11600.000001445731,-513727.3154737577,105137.87835228606,301.1506507210652,405.31142645261315,261
5900000,11800.000001486476,-512899.6055957624,104272.09323794197,298.6707476199611,405.90428767030613,261
6000000,12000.000001527222,-513750.7501961705,105253.18377506139,301.4809246779364,405.6020551342105,261
6100000,12200.000001567967,-513009.17033630237,104788.91356222914,300.15109684712974,405.2615316353133,261
6200000,12400.000001608712,-513738.32143887784,105233.98154907825,301.425922970267,402.4482366670446,261
6300000,12600.000001649458,-512713.596838417,104495.86539269472,299.3117071967869,404.9557769511866,261
6400000,12800.000001690203,-514852.5000726059,105035.25387515628,300.85669930648567,402.9787323655373,261
6500000,13000.000001730948,-512724.5976424832,103841.00732207135,297.4359709047023,404.9205736767828,261
6600000,13200.000001771694,-512953.543235369,103995.92001532181,297.8796935583116,404.75284237468856,261
6700000,13400.00000181244,-513734.1941767894,104183.34246400755,298.4165352110632,404.34644252539067,261
6800000,13600.000001853185,-513019.0819096123,105157.1648462927,301.20589380102126,405.2036784854549,261
6900000,13800.00000189393,-514349.66758084623,104917.10349818296,300.5182764329592,403.0249562030176,261
7000000,14000.000001934675,-513931.53634788794,105307.80088064994,301.637366648673,403.8094381328614,261
7100000,14200.00000197542,-514577.790968698,104773.8090210082,300.107832302621,403.4253132155941,261
7200000,14400.000002016166,-513133.39130262285,105453.88116660947,302.05579028308216,404.5288642931927,261
7300000,14600.000002056911,-513313.89121045265,104514.30093095533,299.3645128499976,404.6339630370547,261
7400000,14800.000002097657,-512852.5160150728,104661.51873814221,299.7861947321781,403.18513175947174,261
7500000,15000.000002138402,-513307.30408387026,105237.77265374886,301.43678198374914,405.98208352098413,261
7600000,15200.000002179147,-512770.51874947036,104775.83252718396,300.11362831269,404.23107507086047,261
7700000,15400.000002219893,-513913.73236184847,104866.06331416706,300.3720799824487,403.50315044637557,261
7800000,15600.000002260638,-514003.7516792645,105078.92339634476,300.9817836712141,403.32632499169875,261
7900000,15800.000002301384,-513043.80590727134,104173.5919632425,298.3886064598247,405.10194921741436,261
8000000,16000.000002342129,-513636.8604635941,104971.67127811944,300.674577118248,402.3042369762748,261
8100000,16200.000002382874,-511814.3997265892,104796.82239040756,300.1737504215569,405.5458001572826,261
8200000,16400.000002423618,-512542.43343188846,104932.63129984602,300.56275333936424,403.89361084149095,261
8300000,16600.000002464363,-513487.3545788503,105173.02069383091,301.2513103424115,402.7905350431225,261
8400000,16800.00000250511,-512910.3521357239,103981.84975867963,297.8393915566922,404.3593242429238,261
8500000,17000.000002545854,-512575.54693451617,105703.62437797384,302.77113980120293,404.9978799964209,261
8600000,17200.0000025866,-513085.74551694514,104881.89175539417,300.41741802284054,404.6193449224306,261
8700000,17400.000002627345,-512582.86358514195,105218.68604076665,301.3821114310451,405.09384706808396,261
8800000,17600.00000266809,-512466.18167519616,105244.22421602585,301.4552614528837,402.8840074051119,261
8900000,17800.000002708835,-513147.58439271664,105057.70459080255,300.9210057936622,403.1756173039005,261
9000000,18000.00000274958,-514669.9191525681,103613.97067616222,296.78566071464905,403.0247376733576,261
9100000,18200.000002790326,-513995.5786024169,104157.11823682941,298.34142010313906,404.1527825487605,261
9200000,18400.00000283107,-512767.6996772317,104958.87072926434,300.637911991676,405.6795952812977,261
9300000,18600.000002871817,-514132.177001833,105836.5718668804,303.15194663717307,403.3019134211164,261
9400000,18800.000002912562,-513590.99987497926,104424.43704544508,299.1071121108743,405.0395923573903,261
9500000,19000.000002953308,-514820.3322279826,105173.71067391906,301.25328668010997,404.36211056263693,261
9600000,19200.000002994053,-514278.33962700656,104438.94489731477,299.1486675340918,404.6411926296422,261
9700000,19400.0000030348,-513529.85514709353,104473.04206667747,299.24633342674866,404.04423700907574,261
9800000,19600.000003075544,-514446.3251369139,103542.54753522307,296.58108054138086,403.1421223556361,261
9900000,19800.00000311629,-514201.63567657815,104751.35275429941,300.043509915313,405.02052236871236,261
10000000,20000.000003157034,-513341.83751121257,104658.93115868536,299.7787830243385,403.6976425140418,261
