#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
100000,200.00000000022686,-512668.7516139713,105101.61035841855,301.05752159155656,405.101871044468,0
200000,400.00000000118183,-512332.414111353,105242.87922313061,301.46217813433674,405.9943090325851,264
300000,599.9999999996356,-513262.50997844804,104969.50047100999,300.67910041280084,404.08456649532036,263
400000,799.9999999949063,-512159.1034249766,105177.40273952461,301.2746245106603,405.8617881152899,263
500000,999.9999999901769,-512379.9083541874,105880.9210058942,303.2898121461812,404.0288795678598,263
600000,1199.9999999854476,-513766.13695156854,103416.34408284933,296.2301732149286,402.95156720543804,263
700000,1399.9999999807183,-511795.84290195024,104282.4420468905,298.7110610492875,406.1808553814201,263
800000,1599.9999999759889,-512772.8469660338,104766.83587634214,300.098579330612,404.31719646793414,263
900000,1799.9999999712595,-514096.35267277015,104192.66462291183,298.45389877874067,404.5264537985128,263
1000000,1999.9999999665301,-513269.10535979224,105401.63538735313,301.9169260413881,405.65007073732954,263
1100000,2199.9999999618008,-512327.2472970863,104676.79542586041,299.8406636357661,404.89182304589195,263
1200000,2399.9999999570714,-512644.5476681888,104338.31376996706,298.87110238851255,405.02516003127135,263
1300000,2599.999999952342,-513504.46606662916,104801.2296186508,300.1970982284899,404.0907056454781,263
1400000,2799.9999999476127,-514331.2159763621,104335.63200107997,298.8634206156846,403.7066104611431,263
1500000,2999.9999999428833,-513203.8724863827,105273.11022568383,301.5487731034611,404.0338927178931,263
1600000,3199.999999938154,-512549.20184577676,104510.10769776162,299.36319621990043,405.24942666963653,263
1700000,3399.9999999334245,-514390.55425903667,104798.00198161509,300.1878528477269,404.0434290205608,263
1800000,3599.999999928695,-514429.175853034,104812.29007927503,300.22878028218855,403.22438629522765,263
1900000,3799.999999923966,-512849.9168529627,105637.58889924074,302.59280131349345,405.0786548065826,263
2000000,3999.9999999192364,-513193.8843793967,104356.80052242504,298.924056628303,404.66216702999077,263
2100000,4199.999999938153,-513045.3105214429,104268.05731329258,298.6698568067361,404.953139621194,263
2200000,4399.999999978899,-513758.1221587942,105066.34342248808,300.9565014807405,404.27868272197185,263
2300000,4600.000000019644,-513978.5713212979,105248.9652108897,301.4796110964478,402.05903398788763,263
2400000,4800.0000000603895,-513462.1565607707,105061.03036370012,300.941282529239,404.4488633602601,263
2500000,5000.000000101135,-512332.3024758692,105628.73931095412,302.56745217652406,404.533487015422,263
2600000,5200.00000014188,-513977.84701982234,104142.16091558523,298.3092338120758,403.6185720949403,263
2700000,5400.000000182626,-514110.3517299625,104615.65636080917,299.66553429822324,404.94735378611267,263
2800000,5600.000000223371,-512982.76807309454,105654.77546500493,302.6420312432347,404.71353121717874,263
2900000,5800.000000264116,-512983.20998397795,104610.15229165682,299.64976820851234,405.3185998491057,263
3000000,6000.000000304862,-513461.0069983951,104580.56621689204,299.5650205979673,402.7611914766343,263
3100000,6200.000000345607,-512893.54061652115,104312.11505551066,298.79605767686417,403.52185106379125,263
3200000,6400.000000386352,-512530.8904657867,104754.50085569418,300.0632463729875,405.8565640702026,263
3300000,6600.000000427098,-513444.38154499326,104790.1903926091,300.16547700003235,404.8378959072714,263
3400000,6800.000000467843,-513014.1532684788,105373.61883575935,301.83667423974964,405.18596143404346,263
3500000,7000.0000005085885,-514487.21255689487,104669.6722343489,299.82025966312506,404.7563812712149,263
