#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
100000,200.00000000022686,-513030.78391714115,105144.00831031552,301.17896808771525,404.1161732882695,0
200000,400.00000000118183,-512493.2464693957,105241.78955198452,301.45905683397353,403.7023554228388,267
300000,599.9999999996356,-513616.57383266604,104078.33359211893,298.1264041128251,402.9255884240472,266
400000,799.9999999949063,-513534.1784695601,104886.91148848587,300.4425290196063,404.41078438120996,265
500000,999.9999999901769,-512381.11724677077,104216.05688766426,298.52090457652787,403.82507931694937,264
600000,1199.9999999854476,-511392.101928263,105450.05889953102,302.05563240861994,405.82674306682003,264
700000,1399.9999999807183,-513234.5647098203,103895.8014308794,297.6035512289718,403.6579530842748,264
800000,1599.9999999759889,-512321.9683425375,105531.8847454866,302.29001784097926,402.73184003073777,264
900000,1799.9999999712595,-511731.83288182924,104471.09868422418,299.2514571428752,403.0286094378968,263
1000000,1999.9999999665301,-512813.1253133379,104444.38851492526,299.17494739822905,404.55831166831143,263
1100000,2199.9999999618008,-513256.23723502643,104181.02366816218,298.4205539329867,403.0071439901127,263
1200000,2399.9999999570714,-512599.8876106413,104855.42613786866,300.3523410425531,405.50468949110416,263
1300000,2599.999999952342,-514332.95314991986,104581.63414789387,299.568079624937,403.813085471146,263
1400000,2799.9999999476127,-512831.093443478,105351.27097652713,301.7726600815423,405.82793952946093,263
1500000,2999.9999999428833,-514314.6827602922,104685.33058185712,299.8651120995147,404.6553839407638,263
1600000,3199.999999938154,-513016.64573364006,104676.83016193127,299.8407631352444,403.78619941301434,263
1700000,3399.9999999334245,-512947.8384071877,105038.30883958063,300.8761980294405,403.8291060754468,263
1800000,3599.999999928695,-514370.07646302646,104123.82800397347,298.25672024054654,404.8105456951773,263
1900000,3799.999999923966,-512741.62183869677,105121.20650490915,301.113653626785,404.0339832444044,263
2000000,3999.9999999192364,-513413.4834011989,104449.5943040651,299.1898590819894,404.75345747322024,263
2100000,4199.999999938153,-514211.62408692157,104584.23998841445,299.5755439053235,403.64966960467626,263
2200000,4399.999999978899,-514191.1028152243,104933.43639599532,300.57579694289797,405.0174144579453,263
2300000,4600.000000019644,-513861.3823305005,105136.94872004323,301.1587462971682,404.4872747106368,263
2400000,4800.0000000603895,-514257.0191185139,104593.04174558923,299.60075603282235,403.1418149391813,263
2500000,5000.000000101135,-513081.45480362745,105034.36052216124,300.8648883011435,404.23213824389364,263
2600000,5200.00000014188,-514176.7338859709,104483.07650608936,299.2857669251183,403.564618466499,263
2700000,5400.000000182626,-512191.06214417564,105144.4963898774,301.1803661635653,405.1284950091144,263
2800000,5600.000000223371,-513434.8165761181,104233.55190946319,298.5710180608504,404.39144624154244,263
2900000,5800.000000264116,-511538.7786557777,104325.8306622539,298.835345244002,404.92251459797836,263
3000000,6000.000000304862,-512881.59003904415,105270.46472824708,301.5411952281177,404.52822391933233,263
3100000,6200.000000345607,-513648.22345265374,104192.93399296503,298.45467037377455,404.6847308872903,263
3200000,6400.000000386352,-513104.1287555285,104816.50471566909,300.2408528658804,404.2078027361058,263
3300000,6600.000000427098,-513642.2853666153,104674.76872878033,299.83485827847545,403.2787530946251,263
3400000,6800.000000467843,-512670.4537483775,104099.17838163389,298.1861128142244,404.79268745733395,263
3500000,7000.0000005085885,-512999.6795293344,105422.03935574048,301.97537203600587,405.53398708172836,263
3600000,7200.000000549334,-513878.0715684304,104817.04033255338,300.24238710965807,404.9164904108712,263
3700000,7400.000000590079,-513148.87025007186,104707.29899330926,299.92803935136675,404.73426294391385,263
3800000,7600.000000630825,-515273.25994439004,105596.12173230773,302.47402099736223,403.77025647050397,263
3900000,7800.00000067157,-513461.0285254102,104332.5019164703,298.85445466823865,403.97714896200256,263
4000000,8000.000000712315,-514814.6646181126,104873.95944768935,300.4054286432329,404.4827518157362,263
4100000,8200.00000075306,-513806.0865934184,105451.19956757629,302.05889978666954,403.4457479953953,263
4200000,8400.000000793805,-514013.8716804008,104273.34279888781,298.68499677641194,403.75466020079864,263
4300000,8600.00000083455,-513375.61852557026,105553.0480863339,302.35063901435956,403.650445433758,263
